#{"t_start": 1690643234.0805936, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
150.0,2287,1.709836
120.0,1889,2.318421
50.0,1493,2.796061
35.0,1845,3.3725
210.0,1879,3.957709
260.0,2531,4.742614
140.0,2113,5.401329
260.0,2989,6.328835
210.0,2089,6.982623
115.0,1529,7.46401
170.0,2173,8.145955
125.0,1683,8.675424
105.0,1273,9.080411
180.0,2469,9.850899
65.0,1067,10.192142
135.0,1933,10.796618
210.0,2785,11.676334
50.0,1807,12.273342
155.0,1877,12.871975
75.0,1377,13.302409
135.0,1915,13.906087
20.0,1475,14.360164
45.0,1193,14.730051
100.0,1629,15.23156
70.0,1797,15.780494
105.0,1679,16.292655
440.0,3005,17.199669
250.0,2635,17.998122
335.0,3661,19.094748
105.0,1931,19.683333
380.0,2658,20.470007
115.0,2807,21.322421
120.0,2307,22.024387
205.0,2537,22.793259
110.0,1877,23.363704
130.0,2451,24.112374
135.0,1537,24.584334
290.0,3169,25.567647
75.0,1683,26.118286
225.0,2545,26.896365
90.0,2075,27.533777
65.0,1819,28.093214
125.0,2273,28.792159
65.0,1517,29.257406
155.0,1473,29.711271
120.0,1819,30.273681
80.0,2025,30.914729
180.0,1903,31.510655
120.0,1671,32.058033
450.0,2805,40.557505
50.0,1249,40.942174
90.0,2277,41.642703
20.0,1897,42.220492
155.0,2105,42.863084
440.0,2569,43.639035
190.0,2425,44.379852
210.0,2537,45.147294
180.0,2113,45.792202
20.0,1385,46.21626
240.0,3019,47.130869
165.0,2795,47.984307
230.0,3733,49.108584
115.0,1891,49.688608
55.0,1115,50.03309
20.0,1539,50.505063
50.0,1471,50.956048
75.0,1801,51.510515
75.0,1235,51.891285
125.0,1549,52.363229
15.0,1317,52.763444
85.0,1941,53.355006
180.0,2123,54.001853
165.0,2401,54.735959
170.0,2387,55.468595
310.0,2111,56.114613
210.0,2065,56.747634
90.0,1615,57.247811
120.0,2209,57.92338
155.0,2683,58.744244
60.0,1061,59.071749
290.0,3205,60.039398
195.0,2427,60.788949
155.0,2439,61.532029
135.0,1895,62.113074
255.0,2699,62.931528
80.0,1617,63.422081
210.0,2597,64.208418
140.0,2217,64.887785
210.0,2485,65.644745
75.0,1181,66.006028
180.0,2589,66.792523
100.0,1919,67.384465
240.0,3149,68.343075
45.0,1209,68.716631
15.0,1687,69.237159
35.0,1155,69.592199
405.0,3579,70.671467
70.0,1519,71.141139
80.0,1809,78.354936
90.0,1303,78.755892
190.0,3543,79.828569
375.0,3273,80.818898
165.0,3245,81.791022
30.0,1177,82.152602
65.0,1195,82.518052
15.0,1015,82.829724
400.0,3177,83.788424
210.0,2383,84.510249
100.0,1623,85.008983
105.0,2357,85.729647
320.0,2707,86.55513
40.0,1513,87.022209
210.0,2743,87.853121
120.0,3079,88.789419
215.0,2943,89.691734
90.0,1137,90.041623
150.0,1669,90.553623
150.0,1473,91.007016
135.0,2183,91.676132
125.0,1837,92.241528
70.0,1863,92.814507
370.0,2937,93.711335
135.0,1867,94.278435
245.0,2505,95.039438
135.0,2067,95.668734
105.0,2087,96.301183
80.0,1641,96.803988
50.0,1211,97.179153
180.0,2641,97.984715
135.0,1627,98.483437
155.0,1633,98.981289
125.0,1649,99.487819
135.0,2207,100.157584
80.0,1257,100.54081
480.0,3523,101.606666
165.0,2223,102.287004
135.0,1827,102.841513
75.0,1801,103.393783
140.0,2061,104.020432
130.0,2433,104.765967
70.0,1563,105.243914
175.0,1517,105.705911
45.0,1545,106.1789
280.0,3107,107.123531
110.0,1433,107.562418
315.0,3795,108.698721
185.0,1999,109.305354
185.0,2261,116.495411
115.0,2049,117.121143
290.0,3051,118.048378
95.0,1873,118.624693
50.0,1157,118.984607
215.0,2557,119.760682
110.0,2021,120.372979
155.0,1915,120.957485
20.0,1549,121.431223
75.0,1095,121.769243
30.0,1617,122.261497
110.0,1975,122.864743
45.0,1291,123.257448
215.0,3017,124.16483
155.0,1943,124.756718
50.0,1515,125.216853
305.0,3261,126.194776
80.0,1861,126.760906
285.0,2843,127.617877
240.0,2541,128.388687
80.0,1977,128.995276
45.0,1471,129.443717
110.0,1813,129.995655
325.0,2025,130.615603
110.0,2239,131.296293
105.0,1945,131.887914
50.0,1291,132.285775
150.0,2479,133.042482
120.0,2041,133.670646
130.0,1685,134.185259
35.0,1773,134.725355
380.0,2413,135.4639
330.0,3271,136.489989
210.0,4117,137.758381
185.0,2041,138.364098
155.0,2025,138.965165
65.0,1833,139.518576
80.0,1865,140.086693
80.0,1873,140.657178
155.0,1877,141.217242
80.0,1815,141.759281
140.0,3413,142.763955
180.0,2611,143.533885
65.0,2435,144.261698
105.0,1985,144.853801
190.0,2349,145.549999
210.0,2103,146.173456
140.0,2085,146.795294
