#{"t_start": 1690643872.441415, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
185.0,1849,304.461258
275.0,2341,306.540393
245.0,2267,308.493677
210.0,2283,310.370316
245.0,3095,312.887408
170.0,1905,314.416549
500.0,4147,318.018808
155.0,2089,319.831323
285.0,2761,322.184642
225.0,2297,324.157562
445.0,2943,326.671905
135.0,1159,327.640164
215.0,1877,337.646349
55.0,1557,338.945684
260.0,4473,342.758759
270.0,2613,344.982402
270.0,2599,347.178975
435.0,3009,349.712346
475.0,4607,353.545732
155.0,2819,355.971371
245.0,3051,358.566504
265.0,3463,361.485264
485.0,2821,363.900652
240.0,2643,366.180912
135.0,2017,367.898567
135.0,2055,369.646692
110.0,2165,371.481136
110.0,2041,373.21518
185.0,2063,374.956532
305.0,2879,377.396292
320.0,3239,380.142545
260.0,1923,381.763726
390.0,2635,384.008812
155.0,2059,385.764587
105.0,1851,387.361663
210.0,2511,389.514969
110.0,1535,390.801015
85.0,1523,392.080302
250.0,2081,393.844876
330.0,3433,396.764452
170.0,2045,398.503787
125.0,1519,399.786611
250.0,2757,402.121202
330.0,3261,404.895421
535.0,2741,407.226395
190.0,1907,408.841732
135.0,1861,410.430819
265.0,2239,412.329696
235.0,2013,414.019079
295.0,3023,416.602739
185.0,2137,418.419526
125.0,1579,419.761034
205.0,1915,421.379134
215.0,2461,423.463706
410.0,4041,433.412035
230.0,2305,435.353218
160.0,1817,436.942017
85.0,1161,437.92618
220.0,3171,440.615087
100.0,1747,442.094638
260.0,3729,445.244569
700.0,3160,447.959274
215.0,2869,450.408932
175.0,2095,452.206496
255.0,2761,454.560026
120.0,1791,456.067035
90.0,1497,457.351819
180.0,1899,458.977943
185.0,2029,460.712939
125.0,1501,461.999325
270.0,2291,463.934046
170.0,1965,465.599274
160.0,1829,467.147811
70.0,1571,468.502046
110.0,1341,469.648075
150.0,1857,471.223288
200.0,1929,472.858289
475.0,3471,475.794741
110.0,1285,476.889244
120.0,1517,478.172224
235.0,2417,480.240298
80.0,1097,481.168687
245.0,2507,483.320045
300.0,3159,486.008229
105.0,1703,487.450949
175.0,1625,488.84061
250.0,2669,491.151354
435.0,2573,493.333091
160.0,2417,495.353786
105.0,1411,496.549329
185.0,1977,498.230959
305.0,2929,500.706127
275.0,2409,502.727811
115.0,2015,504.423684
545.0,3071,506.983461
395.0,3149,509.678249
105.0,1457,510.918729
130.0,1789,512.452573
100.0,1519,513.747028
155.0,1927,515.376699
170.0,1975,523.53966
105.0,1431,524.744302
165.0,2069,526.486649
425.0,4131,529.968616
