#{"t_start": 1690643872.441415, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
315.0,2591,1950.7802
190.0,2225,1952.694638
105.0,1087,1953.605836
175.0,1941,1955.271846
90.0,1513,1956.558957
320.0,2659,1958.857273
175.0,1905,1960.555467
200.0,1961,1962.371862
75.0,1355,1963.567486
130.0,1997,1965.323066
200.0,2057,1967.203448
350.0,2573,1969.33685
230.0,2359,1971.425515
365.0,3061,1974.055849
220.0,2427,1976.112687
515.0,2773,1978.461676
260.0,2297,1980.486402
145.0,2265,1982.460224
205.0,2395,1984.487342
250.0,2855,1986.95162
420.0,2175,1988.788907
350.0,2919,1991.264822
270.0,2273,1993.181145
425.0,3015,1995.708492
360.0,2321,1997.696478
230.0,2373,1999.702915
125.0,1493,2000.979888
285.0,2697,2003.288552
280.0,2747,2005.627091
520.0,2741,2007.978792
380.0,2749,2010.317675
205.0,1475,2011.569007
315.0,2603,2013.832308
460.0,3253,2016.563428
75.0,1063,2017.454799
305.0,2935,2019.959866
400.0,2877,2022.421412
155.0,1603,2023.844469
175.0,1691,2031.96312
170.0,1989,2033.681027
320.0,2917,2036.176969
200.0,1835,2037.772548
340.0,2649,2040.027664
270.0,2119,2041.820656
350.0,2911,2044.333952
135.0,1859,2045.922056
290.0,2927,2048.46209
150.0,2079,2050.241248
195.0,1917,2051.877623
155.0,2403,2053.951516
210.0,2509,2056.085589
175.0,1899,2057.683252
320.0,2989,2060.213262
290.0,2309,2062.168794
195.0,2037,2063.939957
610.0,3373,2066.817278
200.0,2813,2069.20956
240.0,2885,2071.697258
235.0,2433,2073.758311
135.0,2497,2075.899627
150.0,2177,2077.837331
155.0,2007,2079.54581
565.0,2735,2081.849557
255.0,2071,2083.634977
250.0,2649,2085.887601
340.0,2883,2088.345169
470.0,2902,2090.813927
290.0,2065,2092.567965
195.0,2543,2094.79053
370.0,2169,2096.722224
225.0,1723,2098.179583
255.0,2209,2100.091576
165.0,1817,2101.690729
255.0,3099,2104.384019
190.0,1523,2105.767628
205.0,3293,2108.788084
290.0,2593,2111.035138
300.0,2415,2113.085505
315.0,2917,2115.802175
360.0,2731,2118.344625
230.0,1819,2120.094364
435.0,2625,2130.617783
205.0,1599,2132.172042
295.0,2405,2134.349268
250.0,1583,2135.752384
255.0,2243,2137.842028
365.0,2405,2140.044393
290.0,2275,2142.069948
250.0,2269,2144.245679
245.0,2311,2146.394031
135.0,1841,2148.107853
380.0,2477,2150.322567
270.0,2561,2152.695524
370.0,2751,2155.067154
220.0,1907,2156.811025
285.0,1743,2158.380601
335.0,2765,2160.923994
325.0,2745,2163.320741
365.0,2877,2165.819328
335.0,2438,2167.930202
340.0,2572,2170.155835
365.0,2779,2172.552031
310.0,2774,2174.972424
440.0,2586,2177.19802
330.0,2766,2179.696149
305.0,2601,2182.165259
410.0,2718,2184.569388
245.0,2657,2187.014489
565.0,3688,2190.504977
335.0,2539,2192.879577
385.0,2525,2195.324951
275.0,2265,2197.428279
100.0,1847,2199.148652
420.0,2753,2201.593101
310.0,2705,2204.073635
330.0,2685,2206.633247
415.0,2473,2209.083851
470.0,3841,2212.89289
380.0,2995,2215.588967
360.0,2348,2217.640424
355.0,3127,2220.467805
275.0,2163,2230.655767
165.0,1521,2232.355692
275.0,2519,2234.703579
310.0,2121,2236.502958
365.0,2557,2238.731288
465.0,3047,2241.373885
525.0,3703,2244.670023
390.0,2815,2247.162722
380.0,2311,2249.147199
360.0,2473,2251.343763
315.0,2293,2253.384862
310.0,2449,2255.569789
230.0,2559,2257.837455
620.0,3019,2260.470847
360.0,2387,2262.56785
440.0,2469,2264.639246
410.0,2113,2266.4628
330.0,2333,2268.423184
345.0,2773,2270.810459
310.0,2670,2273.095767
470.0,2845,2275.624177
515.0,2563,2277.830256
360.0,2661,2280.291228
495.0,2945,2282.939185
345.0,2649,2285.239403
175.0,1789,2286.779422
295.0,2347,2288.779872
490.0,3195,2291.458207
390.0,2425,2293.49197
510.0,2559,2295.671547
410.0,2345,2297.68072
155.0,2133,2299.501256
365.0,2789,2301.951436
125.0,1489,2303.305059
490.0,3523,2306.417624
220.0,1713,2307.975541
380.0,2617,2310.29213
275.0,2895,2312.836715
415.0,2385,2314.96771
315.0,2359,2317.03502
430.0,3541,2328.438574
210.0,1521,2329.741139
355.0,2284,2331.665821
150.0,1481,2332.914172
325.0,2841,2335.326064
90.0,1269,2336.405401
365.0,2847,2338.799995
535.0,3853,2342.004556
75.0,1337,2343.142336
65.0,1195,2344.147814
200.0,1833,2345.727832
210.0,2113,2347.524761
345.0,2695,2349.868293
330.0,2671,2352.10765
55.0,1121,2353.053702
315.0,2833,2355.472286
325.0,2467,2357.707489
540.0,2841,2360.20095
240.0,1907,2361.808936
400.0,2855,2364.231824
290.0,2159,2366.06753
220.0,2027,2367.788012
365.0,3137,2370.467377
230.0,1945,2372.164387
330.0,2209,2374.246591
320.0,2613,2376.590211
385.0,2295,2378.705871
270.0,1705,2380.495218
350.0,2675,2383.30395
235.0,2225,2385.334461
415.0,3094,2388.00065
210.0,1973,2389.704818
245.0,1727,2391.158961
300.0,2007,2392.882453
155.0,2093,2394.726618
190.0,2241,2396.732305
385.0,2595,2399.008221
525.0,3505,2401.968473
215.0,2527,2404.093273
70.0,1121,2405.073956
415.0,3283,2407.847565
320.0,2655,2410.211473
175.0,1643,2411.639522
205.0,1643,2413.118898
475.0,3415,2416.096454
225.0,2405,2425.427711
270.0,2495,2427.576177
440.0,2938,2430.087356
330.0,2633,2432.403701
275.0,2669,2434.747283
135.0,1927,2436.390296
195.0,1901,2438.041932
140.0,1999,2439.77686
255.0,2563,2441.957887
130.0,1497,2443.215582
330.0,2467,2445.306814
90.0,1369,2446.4702
80.0,1485,2447.72336
100.0,1519,2449.038498
175.0,1993,2450.763072
310.0,2649,2453.028551
360.0,2644,2455.270449
235.0,2121,2457.097681
360.0,3435,2460.047195
150.0,1985,2461.77692
230.0,2177,2463.632149
45.0,1385,2464.794832
210.0,1753,2466.265092
230.0,2353,2468.256012
205.0,2205,2470.162582
255.0,2197,2472.057574
205.0,2459,2474.187685
295.0,2299,2476.170683
125.0,1411,2477.37901
585.0,2909,2479.928301
210.0,1957,2481.708326
310.0,2619,2484.074676
415.0,2667,2486.554445
235.0,2425,2488.650008
305.0,2615,2490.873543
215.0,2749,2493.193956
390.0,2785,2495.755999
160.0,1917,2497.4261
230.0,2591,2499.741272
370.0,2883,2502.224183
520.0,2651,2504.455718
280.0,2535,2506.593235
290.0,2345,2508.608535
505.0,3055,2511.1778
130.0,1593,2519.867048
530.0,2827,2522.255034
350.0,2455,2524.380527
285.0,2447,2526.523544
355.0,2743,2528.925045
260.0,2217,2530.886667
410.0,2925,2533.486199
175.0,2749,2535.941123
355.0,2401,2537.990269
360.0,2525,2540.179634
350.0,2875,2542.668272
475.0,2311,2544.792003
225.0,1991,2546.62129
425.0,2949,2549.251799
510.0,2753,2551.680274
50.0,1109,2552.632691
290.0,3121,2555.337096
160.0,1979,2557.096745
270.0,2415,2559.223994
305.0,2777,2561.608077
360.0,2041,2563.40436
240.0,2481,2565.583076
210.0,2155,2567.440087
315.0,2205,2569.348083
305.0,2718,2571.690701
280.0,3195,2574.437236
255.0,2331,2576.441421
305.0,2597,2578.636069
260.0,2477,2580.727823
310.0,2771,2583.058517
415.0,2381,2585.048459
245.0,1671,2586.475566
320.0,2566,2588.745473
360.0,2367,2590.782876
320.0,3211,2593.603897
260.0,1889,2595.281563
250.0,2087,2597.246579
125.0,1473,2598.53421
490.0,3217,2601.471042
495.0,2881,2603.893751
225.0,1453,2605.094583
485.0,3811,2615.413229
270.0,2047,2617.140614
400.0,3433,2620.055394
455.0,2741,2622.352873
305.0,2663,2624.647375
260.0,2601,2626.842297
540.0,2567,2629.025435
400.0,2777,2631.367296
235.0,2175,2633.253929
390.0,2721,2635.518632
235.0,2563,2637.691093
595.0,2670,2639.92863
205.0,2447,2642.008421
295.0,1815,2643.555809
160.0,1727,2645.013849
445.0,3459,2647.958568
140.0,1871,2649.525721
235.0,2137,2651.363009
335.0,2689,2653.642082
310.0,2559,2655.820168
290.0,2807,2658.181433
275.0,2665,2660.40918
260.0,2519,2662.543158
445.0,2669,2664.817016
315.0,2583,2667.005721
330.0,2961,2669.529166
300.0,2277,2671.439962
195.0,1641,2672.833911
240.0,2762,2675.201962
310.0,2517,2677.333026
330.0,2577,2679.524974
285.0,2441,2681.624136
360.0,2481,2683.704412
425.0,2372,2685.709334
395.0,3439,2688.652425
180.0,2057,2690.443548
380.0,3151,2693.080304
125.0,2015,2694.819905
80.0,1113,2695.778964
405.0,2809,2698.181192
350.0,2423,2700.24016
465.0,3641,2711.212168
380.0,2891,2713.667358
170.0,2639,2715.920595
360.0,2313,2717.895535
120.0,1929,2719.550177
155.0,1493,2720.823387
435.0,3359,2723.662752
330.0,2780,2726.039775
170.0,1849,2727.604478
285.0,2981,2730.194059
135.0,1649,2731.597786
320.0,3389,2734.429979
345.0,2644,2736.688763
380.0,2534,2738.823481
525.0,2553,2741.005831
450.0,2767,2743.335334
290.0,2071,2745.106288
335.0,2585,2747.288466
510.0,2589,2749.505627
320.0,2577,2751.689016
330.0,2862,2754.112542
320.0,2527,2756.266992
310.0,2369,2758.282374
335.0,2791,2760.687322
500.0,3107,2763.310525
355.0,2683,2765.614516
275.0,2411,2767.647736
375.0,2574,2769.85808
245.0,2299,2771.827135
395.0,2335,2773.806247
350.0,2293,2775.758782
320.0,2767,2778.095359
375.0,2510,2780.202121
440.0,2679,2782.48641
365.0,2705,2784.780006
275.0,2563,2786.971199
360.0,2383,2788.979256
455.0,3347,2791.799221
335.0,2745,2794.123859
340.0,3141,2802.943759
315.0,2391,2805.00039
215.0,2229,2806.858362
180.0,1835,2808.426486
380.0,2789,2810.804371
720.0,3913,2814.141944
330.0,2776,2816.475466
370.0,3127,2819.106758
400.0,3245,2821.859439
425.0,2973,2824.382277
175.0,1465,2825.648133
500.0,2571,2827.819691
340.0,2823,2830.196628
325.0,2591,2832.380624
290.0,2617,2834.61282
380.0,2761,2836.960334
385.0,2693,2839.260649
675.0,3465,2842.224536
320.0,2714,2844.59661
165.0,1841,2846.21257
300.0,2551,2848.395935
360.0,2804,2850.819721
205.0,2661,2853.126192
195.0,2047,2854.913574
195.0,1879,2856.560242
195.0,2163,2858.44054
395.0,3605,2861.471734
445.0,3369,2864.325757
395.0,2621,2866.545614
380.0,2634,2868.776098
330.0,2175,2870.613712
580.0,2505,2872.722221
425.0,2453,2874.816174
330.0,2587,2877.035737
465.0,2436,2879.10076
530.0,2156,2880.936251
415.0,2595,2883.144999
615.0,2631,2885.40831
375.0,2707,2887.723947
265.0,2193,2898.539793
215.0,2469,2900.637671
655.0,2933,2903.120288
515.0,2371,2905.140268
240.0,1787,2906.653151
655.0,2817,2909.060303
620.0,2518,2911.220039
585.0,2428,2913.24112
255.0,2123,2915.054526
425.0,2751,2917.371521
170.0,1753,2918.759371
200.0,1865,2920.242482
315.0,2505,2922.254263
270.0,2449,2924.210118
495.0,3481,2926.942845
450.0,2923,2929.254713
325.0,2621,2931.331529
260.0,2527,2933.360819
310.0,2555,2935.404078
55.0,1099,2936.267829
340.0,2529,2938.261179
380.0,2819,2940.497906
340.0,2529,2942.524848
585.0,3160,2945.028415
320.0,2616,2947.113703
235.0,3067,2949.534276
335.0,2435,2951.45925
470.0,2869,2953.687308
335.0,2699,2955.806821
300.0,2733,2957.989726
455.0,3329,2960.58595
390.0,4235,2963.907466
140.0,1181,2964.830747
195.0,2431,2966.783367
190.0,2013,2968.403937
560.0,3594,2971.257371
490.0,3905,2974.32411
445.0,2896,2976.607853
390.0,3087,2979.043875
295.0,2407,2987.505051
275.0,2753,2989.686075
510.0,3485,2992.435604
45.0,1499,2993.655769
240.0,2463,2995.75014
415.0,3487,2998.584782
315.0,2877,3000.883673
270.0,2747,3003.104751
200.0,1935,3004.643183
325.0,3163,3007.159866
550.0,3075,3009.626254
55.0,1215,3010.592939
455.0,3651,3013.475216
300.0,2553,3015.515672
290.0,2325,3017.358421
195.0,1621,3018.642179
325.0,3333,3021.307753
285.0,2527,3023.318432
280.0,2265,3025.125216
545.0,2603,3027.202415
555.0,2600,3029.290489
330.0,2707,3031.453019
540.0,3949,3034.599234
185.0,1707,3035.967186
210.0,1901,3037.493839
370.0,2766,3039.72154
145.0,1423,3040.861686
205.0,1845,3042.369473
255.0,2325,3044.230824
370.0,2361,3046.119019
355.0,3144,3048.627689
520.0,2971,3050.982722
455.0,3193,3053.529676
270.0,2545,3055.579776
265.0,1613,3056.871062
490.0,2815,3059.10836
280.0,1733,3060.491012
490.0,3873,3063.555335
635.0,3419,3066.268592
420.0,2511,3074.890268
410.0,3077,3077.352594
200.0,2031,3078.954246
535.0,3678,3081.858713
310.0,2989,3084.244618
280.0,2561,3086.262662
260.0,2181,3087.998802
250.0,2123,3089.698123
335.0,2641,3091.81156
180.0,2703,3093.971458
340.0,2741,3096.171862
230.0,2211,3097.931263
370.0,2732,3100.128001
385.0,2851,3102.409375
305.0,2533,3104.423856
340.0,3087,3106.909055
410.0,2433,3108.855248
325.0,3395,3111.53982
240.0,2337,3113.436865
190.0,2035,3115.064462
325.0,2747,3117.267754
225.0,2045,3118.891555
415.0,2881,3121.200163
600.0,4213,3124.494937
250.0,2029,3126.138779
225.0,2217,3127.912398
245.0,1947,3129.46061
65.0,1163,3130.412922
230.0,2013,3132.033095
210.0,2589,3134.101744
420.0,3845,3137.153507
305.0,2277,3138.987761
495.0,2889,3141.247813
335.0,3063,3143.677814
360.0,2547,3145.71498
340.0,2820,3147.960675
325.0,3147,3150.459918
285.0,2731,3152.647112
230.0,1897,3154.159255
415.0,2863,3163.367367
525.0,3841,3166.401764
215.0,1937,3167.966651
350.0,2781,3170.168003
590.0,2991,3172.54626
550.0,2747,3174.71816
545.0,4387,3178.175503
260.0,2667,3180.2989
565.0,2424,3182.248592
175.0,1497,3183.448918
275.0,2813,3185.674473
390.0,3339,3188.343078
365.0,3067,3190.788096
440.0,4051,3194.003522
225.0,1837,3195.448096
190.0,3583,3198.318741
385.0,2927,3200.63413
365.0,2722,3202.828424
400.0,2939,3205.156904
390.0,2565,3207.190647
595.0,2830,3209.443832
185.0,1811,3210.900013
370.0,2659,3213.043957
355.0,2625,3215.111161
220.0,2341,3216.981123
375.0,2375,3218.866805
415.0,3255,3221.40406
545.0,3731,3224.345047
490.0,2401,3226.236226
300.0,2653,3228.342572
395.0,3001,3230.702605
205.0,1825,3232.168356
545.0,3681,3235.04825
225.0,1957,3236.604853
355.0,2625,3238.698086
305.0,2943,3241.01775
285.0,2625,3250.041392
105.0,1623,3251.370965
460.0,3349,3254.00143
190.0,2101,3255.679595
230.0,2325,3257.524779
470.0,3151,3260.01702
455.0,3355,3262.640642
305.0,2841,3264.883239
410.0,2855,3267.130977
400.0,2839,3269.371633
355.0,2281,3271.191072
475.0,2925,3273.471055
230.0,1877,3274.98797
285.0,2371,3276.880408
220.0,2171,3278.588184
245.0,2239,3280.346525
465.0,3183,3282.858252
290.0,2537,3284.884701
800.0,4431,3288.367588
330.0,2905,3290.650739
290.0,2279,3292.449812
190.0,2799,3294.729505
280.0,2677,3296.858207
380.0,2629,3298.904663
625.0,3225,3301.44532
410.0,2291,3303.246772
605.0,4341,3306.662138
280.0,2021,3308.247531
275.0,2429,3310.196441
280.0,2373,3312.064749
330.0,2855,3314.342329
110.0,1569,3315.594368
355.0,2373,3317.479009
550.0,3561,3320.270371
375.0,4153,3323.54525
360.0,3211,3326.013206
180.0,2003,3327.612291
455.0,3049,3336.231241
520.0,3153,3338.742257
525.0,4465,3342.223456
365.0,2805,3344.434814
465.0,3335,3347.055058
215.0,2051,3348.683725
400.0,2697,3350.797073
435.0,3275,3353.377902
320.0,2759,3355.559194
260.0,2447,3357.483897
295.0,2435,3359.395179
370.0,2543,3361.415766
265.0,2269,3363.215512
260.0,2235,3364.969056
210.0,1985,3366.558587
515.0,3731,3369.496894
410.0,2891,3371.752621
360.0,2699,3373.860142
565.0,3139,3376.351251
200.0,1993,3377.940754
520.0,3825,3380.92485
350.0,2939,3383.243041
445.0,3557,3385.998054
355.0,2771,3388.181073
290.0,2347,3390.019217
465.0,2709,3392.14624
390.0,2567,3394.192982
275.0,2245,3395.961752
375.0,3563,3398.790188
325.0,2523,3400.76992
415.0,2903,3403.055334
410.0,2421,3404.988262
440.0,3323,3407.588629
400.0,2651,3409.670063
490.0,3085,3412.10507
255.0,1765,3413.511157
