#{"t_start": 1690643436.7322366, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
405.0,3167,1.934329
120.0,2041,2.573684
90.0,1853,3.162671
250.0,2619,4.012902
445.0,3409,5.09058
80.0,1551,5.587171
125.0,2363,6.325272
215.0,2447,7.096344
45.0,1247,7.517204
210.0,2689,8.354014
180.0,2175,9.042779
45.0,1377,9.475859
105.0,1627,9.98331
415.0,2789,10.839396
95.0,1695,11.365512
385.0,2675,12.181157
155.0,2183,12.855091
135.0,3281,13.859358
105.0,1787,14.419748
105.0,1627,14.920614
80.0,1141,15.275066
105.0,1515,15.742393
140.0,2217,16.420281
370.0,3401,17.44645
110.0,1781,17.996952
75.0,1179,18.361564
110.0,1597,18.856816
115.0,1787,19.409423
215.0,2735,20.244264
55.0,1061,20.573207
110.0,2017,21.19231
135.0,2053,21.822443
90.0,1705,22.349325
120.0,1585,22.839437
185.0,2263,23.534437
210.0,2437,24.28619
135.0,2149,24.94738
120.0,2341,25.668021
190.0,2309,26.37421
160.0,1881,26.95117
90.0,1653,27.462634
110.0,2061,28.096236
120.0,1595,28.587469
105.0,1895,29.171646
515.0,4009,30.381376
85.0,1805,30.939097
80.0,1199,31.314081
155.0,2009,31.929747
210.0,2581,37.64815
135.0,2077,38.288607
165.0,2245,38.979731
120.0,1511,39.447771
155.0,2109,40.097903
120.0,2005,40.718751
135.0,1973,41.33299
215.0,2729,42.167084
155.0,2227,42.853216
125.0,2447,43.608578
110.0,1771,44.155625
65.0,1563,44.640501
105.0,1939,45.243462
65.0,1327,45.655485
155.0,2309,46.370108
90.0,2029,46.997058
155.0,2001,47.613834
115.0,1947,48.215398
230.0,2279,48.913749
110.0,2051,49.546526
140.0,2383,50.277911
80.0,1729,50.81781
110.0,1885,51.411763
515.0,3281,52.409162
105.0,1617,52.909426
80.0,1541,53.385683
155.0,1901,53.973924
105.0,1877,54.557664
45.0,1467,55.012111
355.0,2389,55.745532
95.0,1569,56.233292
160.0,2191,56.910883
30.0,1591,57.406678
40.0,1763,57.95715
105.0,1999,58.575389
160.0,1945,59.174156
85.0,1833,59.740602
105.0,1703,60.267992
75.0,1341,60.684796
15.0,1017,61.001236
5.0,1549,61.482486
460.0,2681,62.304826
95.0,1839,62.873744
545.0,3459,63.920083
180.0,2097,64.565941
155.0,2105,65.213613
165.0,1947,65.813946
30.0,1305,66.216528
260.0,2805,67.079014
555.0,4173,68.323772
140.0,2377,69.054075
145.0,1971,73.788077
225.0,2201,74.461712
105.0,1923,75.054979
55.0,1675,75.575145
50.0,1747,76.110767
80.0,1513,76.577993
120.0,1977,77.188783
30.0,1199,77.560728
125.0,1481,78.017492
90.0,1703,78.544923
155.0,2393,79.28165
210.0,2237,79.965157
80.0,1481,80.421333
90.0,1143,80.777304
110.0,1951,81.387972
90.0,1509,81.854549
340.0,3455,82.899647
110.0,1921,83.493727
155.0,2403,84.231422
50.0,1179,84.599056
125.0,2127,85.252353
580.0,5027,86.72835
280.0,2839,87.596118
190.0,2995,88.513993
180.0,1475,88.967233
105.0,2039,89.597226
105.0,1459,90.046795
75.0,1975,90.654067
425.0,3707,91.777282
95.0,2163,92.445466
335.0,2796,93.295514
105.0,1687,93.813652
80.0,1457,94.268711
65.0,1309,94.677585
195.0,2355,95.402102
120.0,2323,96.115121
135.0,2297,96.819391
105.0,2109,97.468437
210.0,1955,98.068563
20.0,1431,98.513172
490.0,2577,99.301558
55.0,1569,99.785845
305.0,2313,100.493476
180.0,1925,101.086016
135.0,2035,101.714677
140.0,1807,102.273957
275.0,2883,103.16239
100.0,1905,103.74845
30.0,1177,104.113287
150.0,2859,110.625585
30.0,1783,111.175825
135.0,2085,111.816682
110.0,1989,112.4269
440.0,2811,113.28668
110.0,2043,113.914952
515.0,3949,115.111518
105.0,2327,115.833578
135.0,2019,116.457793
185.0,2777,117.31088
80.0,1681,117.828159
30.0,1247,118.216117
105.0,1579,118.705742
200.0,3151,119.669798
120.0,1861,120.24007
150.0,2083,120.884162
385.0,2439,121.637016
110.0,1519,122.105783
210.0,2035,122.731578
30.0,2027,123.361776
180.0,2105,124.008941
155.0,2145,124.67264
135.0,1827,125.235585
460.0,3473,126.299454
155.0,1827,126.867434
135.0,1969,127.4829
210.0,2403,128.218295
75.0,1545,128.699006
490.0,3861,129.895083
135.0,2197,130.571775
185.0,2351,131.293791
55.0,1885,131.881019
120.0,1679,132.402883
225.0,2831,133.27644
180.0,2161,133.937561
110.0,1603,134.432335
155.0,2313,135.148092
630.0,3779,136.288978
110.0,2005,136.905358
95.0,1537,137.382457
80.0,1479,137.840589
155.0,2079,138.479708
30.0,1469,138.932236
55.0,1467,139.391121
340.0,2321,140.108136
90.0,1469,140.562315
95.0,1527,141.034549
170.0,2081,141.674352
105.0,1975,148.605377
185.0,3363,151.431668
225.0,2807,153.833144
155.0,3879,157.183295
115.0,1645,158.58261
120.0,3011,161.137739
0.0,1677,162.567213
90.0,2045,164.277828
100.0,1961,165.935363
165.0,2765,168.270282
40.0,1131,169.210356
110.0,2445,171.280673
20.0,1901,172.869443
240.0,2517,174.969276
130.0,2053,176.715587
515.0,5093,181.041399
35.0,1901,182.601056
140.0,2745,184.91758
105.0,2373,186.935858
155.0,1967,188.57217
185.0,3661,191.689246
85.0,2843,194.084413
160.0,2401,196.108441
110.0,2405,198.127422
75.0,1111,199.0708
140.0,3645,202.148803
260.0,2979,204.647618
125.0,1501,205.905161
270.0,3769,209.052061
405.0,4093,212.485402
135.0,2393,214.508054
195.0,1931,216.138239
105.0,1507,217.397639
135.0,2479,219.514823
165.0,2435,221.569696
275.0,2195,223.423146
295.0,2899,225.885025
180.0,2807,228.282237
330.0,2971,230.826772
120.0,1589,232.158347
390.0,4139,241.659825
200.0,2823,244.070626
300.0,3419,246.989018
245.0,1893,248.619012
205.0,2821,251.021489
20.0,1527,252.299137
105.0,2717,254.605665
115.0,2069,256.35622
220.0,2967,258.858299
205.0,2407,260.899535
320.0,3361,263.741957
175.0,1967,265.403098
95.0,1939,267.031062
240.0,3731,270.215619
215.0,2051,271.952207
185.0,2037,273.701094
205.0,2043,275.415487
260.0,2535,277.559207
80.0,1737,279.024363
70.0,1489,280.27558
75.0,1783,281.797823
190.0,3043,284.391718
250.0,2055,286.127499
195.0,1995,287.8207
355.0,3005,290.348154
230.0,2335,292.328811
80.0,1287,293.412986
240.0,3203,296.162273
95.0,1257,297.231934
290.0,2305,299.223825
55.0,1419,300.425143
170.0,2671,302.681669
250.0,2984,305.204321
195.0,1969,306.861192
105.0,1421,308.050913
210.0,2037,309.804317
130.0,2021,311.533186
320.0,3122,314.18491
110.0,1959,315.863402
40.0,1157,316.853303
260.0,3203,319.653119
110.0,2123,321.320309
55.0,1131,322.22031
290.0,2845,324.480786
75.0,1169,330.124047
415.0,4117,333.337951
175.0,2059,334.952359
120.0,1959,336.491028
230.0,2407,338.383342
170.0,2091,340.012562
120.0,1595,341.245277
140.0,2457,343.180876
165.0,2093,344.824322
220.0,2291,346.638206
380.0,2467,348.609559
555.0,3607,351.488535
250.0,3411,354.33727
210.0,2957,356.787902
195.0,2885,359.169161
235.0,2395,361.152443
325.0,2585,363.471863
265.0,2723,365.780149
270.0,2675,368.033515
185.0,1977,369.696376
25.0,1337,370.857019
120.0,1961,372.512776
110.0,3197,375.383124
55.0,1563,376.815522
130.0,2007,378.632505
110.0,1945,380.269472
130.0,2289,382.203146
205.0,1853,383.830017
85.0,1821,385.368669
290.0,2313,387.403198
180.0,2049,389.144084
190.0,1907,390.771478
110.0,1961,392.434195
205.0,2579,394.646204
200.0,2553,396.809666
210.0,2557,398.952085
180.0,2459,401.017964
140.0,2021,402.707904
105.0,1925,404.33679
115.0,1953,405.975827
325.0,4250,409.569149
295.0,3367,412.37246
75.0,1853,413.922846
